Interest_Areas,Preferred_Work_Style,CGPA,Soft_Skills,Programming_Languages,Tools_Techstack,Certifications,Wants_to_Go_for_Masters,Interested_in_Research,Current_Projects_Count,Extracurricular_Interests,Favourite_Subjects,Internship_Experience,Problem_Solving_Style,Recommended_Career
"Consulting, IoT (Internet of Things)",Hybrid,6.8,"Adaptability, Time Management, Communication, Analytical Thinking",C#,"Sketch, ELK Stack, Ansible",Linux Foundation Certified Kubernetes Admin,True,False,0,Coding Clubs,"Distributed Systems, Project Management, Mobile Application Development",3,Intuitive,MLOps Engineer
"Human Computer Interaction, Natural Language Processing, Game Development",Remote,6.2,Collaboration,"Lisp, Dart, Swift, Ruby","Express.js, Adobe XD, InVision, Docker, React Native, Azure",,True,True,1,"Teaching/TA Work, Event Management, Hackathons","Distributed Systems, Chemistry, Blockchain, Biology",0,"Detail-Oriented, Data-driven",Ph.D. Candidate
Cloud Computing,Remote,6.5,Collaboration,Go,"GCP, Docker, Terraform","AWS Certified Cloud Practitioner, Microsoft Certified Azure Fundamentals, Google Cloud Associate Cloud Engineer",False,True,2,Tech Meetups,"Cyber Security, Security, Computer Networks",3,Strategic Thinking,Cloud Engineer
Big Data,On-site,6.6,"Adaptability, Leadership, Planning and Organization","Lisp, Kotlin, Scala, Java","Node.js, Ansible, TensorFlow","Project Management Professional (PMP), SAFe Agilist Certification",True,False,0,"Club Leadership Roles, UI/UX Projects","Natural Language Processing, Discrete Mathematics, Operating Systems",1,Result-Oriented,Solutions Architect
Systems Programming,On-site,8.1,"Problem Solving, Attention to Detail, Innovative Thinking, Teamwork, Accountability",,"Pytest, Weights & Biases, Google Colab, Unreal Engine, GitHub, Podman","AWS Certified Cloud Practitioner, Microsoft Certified: Azure AI Engineer",True,True,3,"Innovation Challenges, Graphic Design, Club Leadership Roles, Sports","Compiler Design, Database Management Systems, Data Mining",2,"Systematic, Pragmatic",Research Intern (AI/ML)
Cloud Computing,Hybrid,8.3,"Creative Thinking, Empathy",Go,"Swagger, Prometheus, Flutter, Ansible, Git","HashiCorp Certified: Terraform Associate, Kubernetes Certified Administrator (CKA), Docker Certified Associate, AWS Certified Cloud Practitioner",False,False,1,"Gaming, Sports, Tech Meetups","Operating Systems, Chemistry, Ethical Hacking, Computer Networks",0,"Detail-Oriented, Resilience",DevOps Engineer
"Technical Writing, Education Technology, Computer Vision",Hybrid,8.4,"Work Ethic, Accountability, Negotiation, Business Communication",Julia,"GCP, Vue.js, AWS, Podman, Azure","Frontend Development Libraries (freeCodeCamp), Kubernetes Certified Administrator (CKA), Salesforce Certified Administrator",True,True,7,"Tech Meetups, Animation Design","Data Structures and Algorithms, Economics",4,"Detail-Oriented, Analytical",Technical Program Manager (TPM)
Mobile App Development,On-site,6.8,"Adaptability, Planning and Organization, Decision Making, Teamwork, Analytical Thinking","PHP, Kotlin, MATLAB","Bitbucket, MongoDB, Git","Project Management Professional (PMP), Android Developer Certification (Google)",True,True,4,"Technical Writing, Sports","Virtualization and Containers, Theory of Computation, Computer Architecture, Object-Oriented Programming",1,"User-Centered, Result-Oriented",Mobile Developer (Android)
"Artificial Intelligence, Big Data",On-site,6.9,"Attention to Detail, Presentation Skills, Business Communication, Work Ethic, Time Management",,"TensorFlow, Helm, MySQL, Postman, Node.js",,False,False,1,Entrepreneurship Clubs,"Natural Language Processing, Ethical Hacking, Operating Systems, Computer Networks",3,"Logical, Analytical",Solutions Architect
"Quantum Computing, Design Systems",Hybrid,7.9,"Customer Focus, Critical Thinking","Assembly, Dart, SQL, PHP","Laravel, Android Studio, Weights & Biases",,False,False,8,"Coding Clubs, Tech Meetups, Startup Ideation Events, Club Leadership Roles","Software Engineering, Blockchain",0,"Systematic, Big Picture Thinker",Embedded Systems Engineer
"Quantum Computing, Frontend Development, Systems Programming",On-site,7.6,"Emotional Intelligence, Adaptability, Multitasking",,"Sketch, Google Colab, Weights & Biases","Microsoft Certified: Power BI Data Analyst Associate, Project Management Professional (PMP), IBM Data Science Professional Certificate",True,True,4,,"Theory of Computation, Data Mining, Computer Networks, Computer Vision",1,"Experimental, Systematic",Research Intern (AI/ML)
"Game Development, Web Development, Education Technology",On-site,6.4,Customer Focus,"SQL, Lisp","Unreal Engine, Prometheus, MongoDB",,True,False,2,"Case Competitions, Blogging, Animation Design, Online Coding Contests","Cloud Computing, Computer Vision",3,"Strategic, Creative",Product Manager
"Full Stack Development, Mobile App Development, Platform Engineering",On-site,7.7,"Accountability, Communication, Multitasking","C++, Java","Pytest, Postman, Gradle","Deep Learning Specialization (Coursera), Machine Learning (Stanford/Coursera)",True,False,4,Public Speaking,"Web Technologies, Mobile Application Development, Virtualization and Containers, Object-Oriented Programming",4,"Innovative Thinking, Result-Oriented",Mobile Developer (Android)
"Human Computer Interaction, Frontend Development, Systems Programming",Hybrid,8.7,Goal-Oriented Mindset,CSS,"CircleCI, Flask, Docker, Sketch, Jest","Machine Learning (Stanford/Coursera), Microsoft Certified Azure Fundamentals, Linux Foundation Certified Kubernetes Admin",True,False,3,"Online Coding Contests, Photography, Tech Meetups, Innovation Challenges","Entrepreneurship, Cloud Computing, Object-Oriented Programming, Psychology",2,Detail-Oriented,UI/UX Designer
"DevOps, UI/UX Design",Remote,8.1,"Business Communication, Planning and Organization",C#,"Node.js, Scikit-learn",CompTIA Security+,True,True,1,"Hackathons, Online Coding Contests, Sports","Artificial Intelligence, Sociology, Ethical Hacking",3,"Systematic, Pragmatic",Cybersecurity Analyst
"Database Engineering, UI/UX Design, IoT (Internet of Things)",Hybrid,8.6,"Multitasking, Planning and Organization, Customer Focus, Decision Making, Active Listening","CSS, PHP, Swift, Kotlin","Hadoop, PyTorch, MongoDB, Sketch, Podman, Grafana",Microsoft Certified: Power BI Data Analyst Associate,True,True,0,"Video Editing, Open Source Contributions, Debate Clubs","Blockchain, Operating Systems",2,"Detail-Oriented, Pragmatic",Game Developer
"Embedded Systems, Technical Writing",Remote,6.0,"Goal-Oriented Mindset, Conflict Resolution, Multitasking, Planning and Organization",Swift,"MySQL, Tableau",,True,True,1,"Student Government, Online Coding Contests, Technical Writing","Data Mining, Ethical Hacking",0,Innovative,Database Administrator
"Quantum Computing, Embedded Systems",Remote,9.5,"Decision Making, Teamwork, Goal-Oriented Mindset",,"ELK Stack, Android Studio, Weights & Biases","Frontend Development Libraries (freeCodeCamp), Microsoft Certified: Power BI Data Analyst Associate, Microsoft Certified Azure Fundamentals",True,False,4,UI/UX Projects,"Artificial Intelligence, Software Engineering",2,"Systematic, Innovative",Embedded Systems Engineer
"Human Computer Interaction, Technical Writing, Embedded Systems",On-site,6.3,"Active Listening, Accountability, Conflict Resolution","Assembly, Dart","Vue.js, Adobe XD, MySQL, Grafana",Cisco CCNA,False,True,6,"Event Management, Animation Design, Teaching/TA Work","Ethical Hacking, Cloud Infrastructure, Computer Architecture, Bioinformatics",1,"Strategic, Innovative",Database Administrator
"Database Engineering, Frontend Development",Remote,8.1,"Emotional Intelligence, Customer Focus, Attention to Detail, Critical Thinking, Analytical Thinking",MATLAB,"Jupyter Notebook, Figma, Spring Boot, InVision","AWS Certified Security Specialty, Salesforce Certified Administrator, CompTIA Security+",False,True,5,Animation Design,"Web Technologies, Project Management, Robotics",2,"Creative, Data-driven",IoT Engineer
"Site Reliability Engineering (SRE), Technical Writing, Mobile App Development",On-site,6.1,"Empathy, Adaptability, Time Management, Decision Making, Communication",,"Figma, PostgreSQL",Google Data Analytics Certificate,True,False,1,Open Source Contributions,"Machine Learning, Natural Language Processing, Sociology",4,Big Picture Thinker,Blockchain Developer
Education Technology,Hybrid,8.7,"Empathy, Accountability, Resilience, Innovative Thinking, Problem Solving","C#, HTML, MATLAB, Java","Jupyter Notebook, ELK Stack, Express.js, JUnit","Machine Learning (Stanford/Coursera), Android Developer Certification (Google)",False,False,3,"Event Management, Robotics Competitions, Photography","Mobile Application Development, Economics, Data Structures and Algorithms",4,Strategic,AI Prompt Engineer
"Human Computer Interaction, Product Management, Academic Research",Hybrid,9.8,Goal-Oriented Mindset,"JavaScript, MATLAB","Angular, Google Colab, Looker, Xcode, Tableau",,True,True,5,"Gaming, Graphic Design, Animation Design, Mentorship Programs","Probability and Statistics, Operating Systems, IoT (Internet of Things)",3,Big Picture Thinker,Research Intern (General)
"Quality Assurance / Testing, Game Development, IoT (Internet of Things)",Remote,6.6,"Critical Thinking, Goal-Oriented Mindset, Accountability",,"InVision, Google Colab, Azure, Selenium, GitHub, React","HashiCorp Certified: Terraform Associate, Docker Certified Associate, Oracle Certified Java Programmer",False,False,0,,"Cloud Computing, Ethical Hacking, Linear Algebra",4,"Strategic, Creative",Bioinformatics Engineer
Web Development,Remote,7.8,Accountability,"SQL, Python","Docker, MySQL, Ansible, Spring Boot",,True,True,7,"Coding Clubs, Podcast Creation","Web Technologies, Technical Communication, Computer Vision",4,Systematic,Full Stack Developer
Web Development,Hybrid,6.6,"Innovative Thinking, Emotional Intelligence","HTML, CSS, JavaScript, TypeScript","Angular, Webpack, Git",,False,False,4,"Coding Clubs, Startup Ideation Events","Human Computer Interaction, Compiler Design, User Interface Design, Blockchain",4,"Strategic, Creative",Software Developer (Frontend)
"Cloud Computing, IoT (Internet of Things), Big Data",Remote,6.6,"Time Management, Analytical Thinking, Leadership, Accountability, Innovative Thinking","Go, Python, Shell (Bash)","AWS, Ansible, Git","Google Cloud Associate Cloud Engineer, AWS Certified Cloud Practitioner, Microsoft Certified Azure Fundamentals",False,False,0,"Entrepreneurship Clubs, Video Editing, UI/UX Projects, Technical Writing","Mobile Application Development, Cloud Computing, Bioinformatics, Operating Systems",2,"Systematic, Collaborative",Cloud Engineer
"Deep Learning, Technical Writing",Hybrid,8.7,"Leadership, Critical Thinking, Accountability",,"Kubernetes, Scikit-learn, Android Studio, Looker",,True,True,3,,"Probability and Statistics, Compiler Design, Computer Networks, Computer Vision",1,"Detail-Oriented, Strategic",MS in Data Science
"Data Science, Big Data",Hybrid,6.3,"Active Listening, Communication","SQL, Python, R, Swift","Adobe XD, AWS, Helm, Jupyter Notebook, Looker","Microsoft Certified: Power BI Data Analyst Associate, PCEP – Certified Entry-Level Python Programmer",True,True,5,"Tech Meetups, Graphic Design, Technical Writing, Teaching/TA Work","Cloud Infrastructure, Big Data Analytics, Business Intelligence",4,"User-Centered, Analytical",Data Scientist
Ethical Hacking,On-site,8.4,Strategic Thinking,HTML,"ELK Stack, Express.js",,False,False,1,Public Speaking,"Web Technologies, Entrepreneurship, Mobile Application Development, Information Security",2,"Strategic, Logical",AI Prompt Engineer
Deep Learning,On-site,8.2,"Strategic Thinking, Critical Thinking","HTML, Ruby, PowerShell","TensorFlow, Confluence, Swagger, Prometheus, Angular, Spring Boot",CompTIA Security+,True,False,8,"Blogging, Open Source Contributions, Entrepreneurship Clubs, Mentorship Programs","Web Technologies, Chemistry, Sociology, User Interface Design",1,"Detail-Oriented, Collaborative",AR/VR Developer
"Human Computer Interaction, Deep Learning, Academic Research",Remote,7.9,"Active Listening, Analytical Thinking, Resilience, Attention to Detail",,"Kubernetes, Jupyter Notebook, Looker, GitHub, Android Studio","Microsoft Certified: SQL Associate, Microsoft Certified Azure Fundamentals, Google UX Design Certificate",True,True,3,"Gaming, UI/UX Projects, Blogging, Photography","Ethical Hacking, Linear Algebra, User Interface Design, Operating Systems",3,"Detail-Oriented, Logical",MS in Data Science
"Ethical Hacking, Big Data, Design Systems",Hybrid,8.3,"Creative Thinking, Innovative Thinking, Emotional Intelligence, Planning and Organization","Lisp, Kotlin","Power BI, IntelliJ IDEA, Kafka, Git","Google Data Analytics Certificate, Certified Ethical Hacker (CEH), IBM Data Science Professional Certificate",True,True,3,"Volunteering, Mentorship Programs, Coding Clubs, Innovation Challenges","Natural Language Processing, Bioinformatics, Digital Logic Design, Computer Architecture",1,"Logical, Big Picture Thinker",MS in Computer Science
"DevOps, UI/UX Design",Remote,8.2,"Resilience, Goal-Oriented Mindset, Conflict Resolution, Multitasking","JavaScript, Kotlin","AWS, Bitbucket, Insomnia, GitHub, Spring Boot",,True,False,1,"Entrepreneurship Clubs, Workshop Hosting, Club Leadership Roles","Machine Learning, Sociology, User Interface Design, IoT (Internet of Things)",4,"Logical, Analytical",Cybersecurity Analyst
Technical Writing,On-site,8.4,Leadership,C#,"Canva, Kubernetes, DBT, Looker, React, Xcode","Deep Learning Specialization (Coursera), Microsoft Certified: SQL Associate",True,True,0,"Innovation Challenges, Animation Design, Photography, Video Editing","Mobile Application Development, Operating Systems, IoT (Internet of Things)",2,"Data-driven, Result-Oriented",Research Intern (General)
"Embedded Systems, Deep Learning",On-site,6.4,"Multitasking, Conflict Resolution, Goal-Oriented Mindset","Rust, Ruby","CircleCI, InVision, Confluence, Sketch, Unreal Engine","Salesforce Certified Administrator, Oracle Certified Java Programmer, Cisco CCNA",False,False,0,"Podcast Creation, UI/UX Projects","Robotics, Virtualization and Containers, Computer Networks, Psychology",0,Strategic,Network Engineer
"Deep Learning, Academic Research, Frontend Development",Hybrid,7.4,Decision Making,,"ELK Stack, AWS, React Native, Angular, Flutter, Spring Boot","CompTIA Security+, iOS App Development with Swift (Apple)",True,True,3,Tech Meetups,"Project Management, Sociology",0,"Innovative, Data-driven",AR/VR Developer
"Backend Development, Frontend Development",Remote,8.0,"Innovative Thinking, Goal-Oriented Mindset","C#, MATLAB, Haskell","Node.js, React, Grafana","AWS Certified Cloud Practitioner, Backend Development (Node.js), Responsive Web Design (freeCodeCamp)",False,False,6,Podcast Creation,"Web Technologies, Mobile Application Development, Software Engineering, Data Structures and Algorithms",0,"Adaptability, Big Picture Thinker",Full Stack Developer
"Networking, Product Management, Web Development",Hybrid,7.3,"Planning and Organization, Presentation Skills, Negotiation, Leadership, Critical Thinking","Scala, TypeScript, Java","ELK Stack, TensorFlow, Bitbucket, Flutter, Node.js, Laravel","Frontend Development Libraries (freeCodeCamp), Cisco CCNA, Responsive Web Design (freeCodeCamp)",True,True,7,"Podcast Creation, Public Speaking, Tech Meetups","Data Structures and Algorithms, User Interface Design",1,"User-Centered, Collaborative",Software Developer (Frontend)
"Cybersecurity, Mobile App Development",Hybrid,7.2,"Innovative Thinking, Negotiation",C++,"Pandas, Jira, AWS, JUnit, Scikit-learn","AWS Certified Security Specialty, Kubernetes Certified Administrator (CKA)",False,False,0,"Robotics Competitions, Open Source Contributions, Technical Writing, Graphic Design","Economics, Ethical Hacking, Calculus",4,"Analytical, Pragmatic",Business Analyst
"Database Engineering, Frontend Development",Remote,7.0,Goal-Oriented Mindset,MATLAB,"CircleCI, Insomnia, VS Code, Android Studio, Spring Boot","Backend Development (Node.js), IBM Data Science Professional Certificate",False,True,7,Robotics Competitions,"Web Technologies, Project Management, Data Mining",1,"Detail-Oriented, Intuitive",IoT Engineer
"DevOps, Data Science, Consulting",Hybrid,9.7,"Communication, Conflict Resolution, Collaboration, Presentation Skills, Teamwork",Ruby,"Figma, AWS, Google Colab, Angular",Microsoft Certified: SQL Associate,True,True,2,Podcast Creation,"Mobile Application Development, Cloud Computing",0,Collaborative,Big Data Engineer
Finance Technology,Hybrid,7.1,"Resilience, Goal-Oriented Mindset, Analytical Thinking, Creative Thinking, Conflict Resolution","Dart, PHP","PyTorch, MySQL, Postman, DBT, Podman, Android Studio","Google Data Analytics Certificate, Microsoft Certified: SQL Associate, Project Management Professional (PMP)",False,False,1,Photography,"Cloud Computing, IoT (Internet of Things)",0,Pragmatic,Quality Assurance Engineer
"Deep Learning, IoT (Internet of Things)",Hybrid,6.8,"Problem Solving, Teamwork, Analytical Thinking, Work Ethic, Customer Focus","Assembly, Python, PHP","Azure, Android Studio, Looker",,True,True,3,"Innovation Challenges, Debate Clubs, Podcast Creation, Online Coding Contests","Object-Oriented Programming, User Interface Design, Computer Networks",1,Collaborative,MS in Data Science
"Frontend Development, Education Technology",Remote,6.2,"Critical Thinking, Emotional Intelligence",,"Adobe XD, Zeplin, InVision","HashiCorp Certified: Terraform Associate, Google UX Design Certificate",False,False,6,Public Speaking,"Graphic Design, User Interface Design",0,Innovative Thinking,UI/UX Designer
"DevOps, Infrastructure",Remote,8.1,Negotiation,Go,"AWS, Angular, Tableau, Git","AWS Certified Cloud Practitioner, AWS Certified Solutions Architect - Associate",True,True,2,"Coding Clubs, Open Source Contributions","Distributed Systems, Physics, Robotics",1,Systematic,Cloud Engineer
"Human Computer Interaction, Frontend Development",Remote,7.5,Analytical Thinking,SQL,"Figma, AWS, Weights & Biases, Node.js, NumPy, Tableau","Google Data Analytics Certificate, Project Management Professional (PMP), Microsoft Certified: Azure AI Engineer",True,True,5,"Tech Meetups, Public Speaking, Photography","Bioinformatics, Calculus",3,"Data-driven, Result-Oriented",Technical Consultant
"Data Science, Consulting",Remote,8.9,"Presentation Skills, Time Management, Communication","C#, TypeScript","Kafka, Canva, Figma, AWS, Cypress, Terraform",,False,False,6,"Student Government, Blogging","Information Security, Cloud Computing, Object-Oriented Programming",4,"Systematic, Collaborative",Big Data Engineer
"Human Computer Interaction, IoT (Internet of Things), Backend Development",On-site,9.8,"Problem Solving, Innovative Thinking, Decision Making","Assembly, HTML, Dart","Pytest, Google Colab, Kafka, Tableau",,False,False,6,"Innovation Challenges, Technical Writing","Bioinformatics, Biology",4,Data-driven,Technical Consultant
Mobile App Development,On-site,8.3,Presentation Skills,"Assembly, HTML, Java","Firebase, Grafana",Cisco CCNA,False,False,6,Photography,"Human Computer Interaction, Mobile Application Development, Software Engineering",0,Problem Solving,Mobile Developer (Android)
"Natural Language Processing, Game Development",On-site,7.9,Collaboration,"JavaScript, R, PHP, TypeScript","InVision, React Native, MongoDB, PostgreSQL, Azure, Android Studio",,True,True,4,"Teaching/TA Work, Debate Clubs, Hackathons, UI/UX Projects","Cloud Infrastructure, Chemistry, Technical Communication, IoT (Internet of Things)",0,"Experimental, Pragmatic",Ph.D. Candidate
"Quality Assurance / Testing, Game Development",On-site,6.4,Leadership,,"Vue.js, Prometheus, MongoDB, Helm, Node.js","Certified ScrumMaster (CSM), Cisco CCNA",False,True,3,"Public Speaking, Sports, Event Management","Computer Architecture, Computer Vision",0,Result-Oriented,Product Manager
"Game Development, Cloud Computing, Education Technology",Remote,9.3,"Critical Thinking, Attention to Detail",PowerShell,"Prometheus, MongoDB, Flask",Project Management Professional (PMP),False,False,4,"Sports, Podcast Creation","Computer Architecture, Computer Vision",2,"Innovative, Result-Oriented",Product Manager
"Business Analysis, Academic Research, Platform Engineering",Remote,6.1,Decision Making,"Go, Java","Jenkins, Cypress",Frontend Development Libraries (freeCodeCamp),False,False,8,Workshop Hosting,"Cyber Security, Cloud Computing, Robotics, Data Mining",2,"User-Centered, Data-driven",Software Test Automation Engineer
"Human Computer Interaction, Cloud Computing",Hybrid,6.2,"Collaboration, Teamwork, Presentation Skills",,"ELK Stack, Confluence, AWS, Angular, NumPy","AWS Certified Cloud Practitioner, HashiCorp Certified: Terraform Associate, IBM Data Science Professional Certificate",False,True,0,"Photography, Video Editing, Technical Writing","Distributed Systems, Physics, Computer Vision",0,Resilience,DevOps Engineer
"DevOps, Deep Learning",Remote,8.9,"Time Management, Decision Making, Empathy, Leadership, Emotional Intelligence",,"React Native, Git, Unreal Engine, Xcode, Spring Boot",Microsoft Certified: Power BI Data Analyst Associate,True,True,4,Graphic Design,"Artificial Intelligence, Information Security, Big Data Analytics, Mobile Application Development",0,Strategic,Data Engineer
"Project Management, Web Development",Hybrid,9.6,"Critical Thinking, Emotional Intelligence, Negotiation","JavaScript, Swift","Bitbucket, InVision",Frontend Development Libraries (freeCodeCamp),True,True,0,"Open Source Contributions, Mentorship Programs, Club Leadership Roles","Big Data Analytics, Information Security, Technical Communication, Object-Oriented Programming",3,Pragmatic,AI Ethicist
"Full Stack Development, Cloud Computing",On-site,9.8,"Attention to Detail, Multitasking","Lisp, Shell (Bash)","AWS, Jest, Android Studio","Backend Development (Node.js), Machine Learning (Stanford/Coursera)",False,False,2,"Sports, Podcast Creation, Public Speaking, Workshop Hosting","Distributed Systems, Chemistry, Physics, Biology",4,Creative,Project Manager
Web Development,Hybrid,9.3,"Emotional Intelligence, Accountability, Resilience, Customer Focus, Leadership",,"React Native, Angular, Google Colab, Node.js, Jenkins, Spring Boot",,True,False,8,"Public Speaking, Music","Information Security, Data Structures and Algorithms, Software Engineering, Technical Communication",0,Problem Solving,Full Stack Developer
"Game Development, Systems Programming",On-site,9.2,Teamwork,"HTML, Dart","CircleCI, InVision, Weights & Biases, Azure, NumPy","ISTQB Foundation Level, Android Developer Certification (Google)",True,True,2,"Graphic Design, Open Source Contributions, Online Coding Contests, Debate Clubs","Entrepreneurship, Technical Communication, Cryptography",4,Detail-Oriented,Ph.D. Candidate
"Frontend Development, UI/UX Design",On-site,8.3,"Work Ethic, Accountability, Customer Focus, Teamwork, Time Management","HTML, CSS, JavaScript, TypeScript","Express.js, Flask, Figma, Jupyter Notebook, Git, Laravel",Project Management Professional (PMP),True,False,3,"Event Management, Podcast Creation, Startup Ideation Events","Chemistry, Data Structures and Algorithms, User Interface Design",1,User-Centered,Software Developer (Frontend)
Design Systems,Remote,7.4,Collaboration,"Rust, Ruby","Kafka, Ansible","Oracle Certified Java Programmer, Google UX Design Certificate",True,True,8,"Event Management, Gaming","Cloud Infrastructure, Computer Architecture, Digital Logic Design",4,Systematic,MS in Computer Science
"Human Computer Interaction, Frontend Development",Hybrid,9.8,"Leadership, Time Management, Strategic Thinking, Critical Thinking, Goal-Oriented Mindset",,"Confluence, Vue.js, React Native, Xcode, Tableau","Tableau Desktop Specialist, Microsoft Certified: Azure AI Engineer, CompTIA Security+",True,False,1,"Open Source Contributions, Robotics Competitions, UI/UX Projects","Data Mining, Compiler Design, Database Management Systems, Bioinformatics",4,Logical,Technical Consultant
"Human Computer Interaction, UI/UX Design",Hybrid,7.3,"Resilience, Creative Thinking, Innovative Thinking",,"Canva, InVision, Sketch, Podman, Spring Boot","Google Data Analytics Certificate, Deep Learning Specialization (Coursera), Responsive Web Design (freeCodeCamp)",True,True,4,Music,"Cloud Computing, User Interface Design, Psychology",0,Detail-Oriented,UI/UX Designer
Deep Learning,Hybrid,9.3,"Active Listening, Accountability, Presentation Skills, Problem Solving","Dart, PHP, Go, Haskell","Android Studio, Looker","Kubernetes Certified Administrator (CKA), SAFe Agilist Certification",True,True,7,,"Sociology, User Interface Design",4,"Detail-Oriented, Pragmatic",MS in Data Science
"Project Management, Web Development",Remote,7.3,"Planning and Organization, Accountability, Multitasking, Communication",,"Node.js, Docker, Jenkins, InVision","Microsoft Certified: Power BI Data Analyst Associate, Android Developer Certification (Google), Linux Foundation Certified Kubernetes Admin",True,False,1,"3D Modeling, Blogging, Club Leadership Roles","Robotics, Object-Oriented Programming",2,Analytical,AI Ethicist
Mobile App Development,Hybrid,8.0,"Goal-Oriented Mindset, Presentation Skills, Decision Making, Time Management",HTML,"AWS, Scikit-learn, Jest, React, Xcode",AWS Certified Security Specialty,False,False,7,Gaming,"Web Technologies, Software Engineering, Economics, Calculus",0,"Strategic, Big Picture Thinker",Business Analyst
Deep Learning,On-site,7.7,"Accountability, Work Ethic","C#, Dart, TypeScript","Jupyter Notebook, Confluence, InVision",Offensive Security Certified Professional (OSCP),True,True,8,"Club Leadership Roles, Community Service","Robotics, Psychology",2,Detail-Oriented,Network Engineer
"Natural Language Processing, Mobile App Development",On-site,9.0,"Resilience, Leadership","SQL, Lisp, HTML","Core Data, UIKit, Git","Certified Ethical Hacker (CEH), PCEP – Certified Entry-Level Python Programmer",True,True,6,Video Editing,"Quantum Computing, Mobile Application Development, Database Management Systems, Computer Vision",3,Problem Solving,Mobile Developer (iOS)
"Product Management, Technical Writing",Hybrid,9.2,"Attention to Detail, Resilience, Work Ethic",Swift,"Google Colab, DBT, Looker",Oracle Certified Java Programmer,True,True,4,"Teaching/TA Work, Entrepreneurship Clubs","Calculus, Operating Systems, IoT (Internet of Things)",3,"Collaborative, Big Picture Thinker",Research Intern (General)
Cloud Computing,Remote,8.6,"Attention to Detail, Collaboration, Presentation Skills, Resilience",Python,"AWS, Terraform","AWS Certified Cloud Practitioner, Docker Certified Associate, Oracle Certified Java Programmer",True,True,3,"Tech Meetups, Public Speaking, Technical Writing, Graphic Design","Machine Learning, Chemistry, Cloud Computing, Theory of Computation",0,Resilience,DevOps Engineer
"Game Development, Software Engineering, Ethical Hacking",On-site,6.9,"Accountability, Communication, Critical Thinking, Attention to Detail",Lisp,"Node.js, Kubernetes, Confluence","Backend Development (Node.js), Microsoft Certified: SQL Associate, IBM Data Science Professional Certificate",False,False,7,"Startup Ideation Events, Graphic Design, Video Editing, Volunteering","Information Security, Calculus, Operating Systems, Biology",1,"Problem Solving, Big Picture Thinker",Software Developer (Backend)
"Data Science, Consulting, Business Analysis",Remote,6.8,Leadership,"Go, Shell (Bash)","Node.js, GitHub, AWS, Bitbucket",,True,True,1,"Blogging, Teaching/TA Work, Club Leadership Roles","Data Structures and Algorithms, Cloud Computing, Blockchain",0,"Systematic, Collaborative",Big Data Engineer
"Ethical Hacking, Computer Vision",Hybrid,9.3,"Analytical Thinking, Decision Making","Shell (Bash), Julia, Haskell","GCP, Flask, Vue.js, Docker, Google Colab","Docker Certified Associate, ISTQB Foundation Level",False,False,4,"Photography, Volunteering, Coding Clubs, Blogging","Entrepreneurship, Data Structures and Algorithms, Theory of Computation, Economics",2,Big Picture Thinker,Technical Program Manager (TPM)
Consulting,Remote,9.1,"Presentation Skills, Multitasking",,"Jupyter Notebook, Figma, AWS, VS Code",Microsoft Certified Azure Fundamentals,False,False,6,"Open Source Contributions, Online Coding Contests, Teaching/TA Work, Blogging","Cloud Computing, Natural Language Processing, Business Intelligence, Cryptography",4,Collaborative,Big Data Engineer
"DevOps, Technical Writing, Platform Engineering",Hybrid,7.8,"Strategic Thinking, Attention to Detail, Collaboration, Analytical Thinking, Communication",,"Figma, PostgreSQL, Django",,False,False,4,"3D Modeling, Coding Clubs, Case Competitions, Online Coding Contests","Project Management, Compiler Design, Sociology, IoT (Internet of Things)",1,Strategic,Blockchain Developer
"Digital Marketing, Frontend Development, Systems Programming",Remote,8.8,"Conflict Resolution, Business Communication, Decision Making, Empathy, Emotional Intelligence",SQL,"Tableau, Flask, Express.js, Weights & Biases",,True,True,8,"Photography, Video Editing, Debate Clubs","Chemistry, Bioinformatics",0,Data-driven,Technical Consultant
"Networking, DevOps",On-site,9.4,Problem Solving,"Rust, R, Dart, Swift","AWS, GitLab CI/CD, GCP",,False,False,8,,"Object-Oriented Programming, Cloud Computing, Linear Algebra, Computer Networks",1,Systematic,Cloud Engineer
"Web Development, Mobile App Development, UI/UX Design",On-site,7.6,"Negotiation, Business Communication, Critical Thinking","C#, Objective-C, Swift","Kafka, Xcode, Laravel",,False,False,6,"Event Management, Online Coding Contests, Video Editing, Community Service","Entrepreneurship, Object-Oriented Programming, Cyber Security",0,"Logical, User-Centered",Mobile Developer (iOS)
"Ethical Hacking, Design Systems",Remote,9.4,"Innovative Thinking, Multitasking, Active Listening, Accountability",JavaScript,"InVision, MongoDB, Weights & Biases, MySQL, Flutter",,False,True,1,"Innovation Challenges, Gaming, Case Competitions","Mobile Application Development, Linear Algebra, Operating Systems",3,Pragmatic,Systems Engineer
"Education Technology, Systems Programming",On-site,6.1,"Resilience, Presentation Skills, Decision Making, Communication","R, JavaScript","Sketch, Unity","Machine Learning (Stanford/Coursera), Microsoft Certified: Azure AI Engineer",False,False,5,"Technical Writing, Workshop Hosting","Information Security, Object-Oriented Programming, Physics",4,Big Picture Thinker,Platform Engineer
"Networking, Entrepreneurship",Hybrid,6.4,"Collaboration, Multitasking, Communication, Teamwork",Scala,"Adobe XD, Confluence, Cypress, Postman, Node.js","Android Developer Certification (Google), Google UX Design Certificate",True,True,3,Public Speaking,"Big Data Analytics, Computer Networks",1,Creative,Security Engineer
